"customerid","firstname","lastname","email"
1,"John","Doe","john.doe@example.com"
2,"Jane","Smith","jane.smith@example.com"
3,"Alice","Johnson","alice.johnson@example.com"
4,"Bob","Brown","bob.brown@example.com"
5,"Carol","Davis","carol.davis@example.com"
6,"David","Martinez","david.martinez@example.com"
7,"Emily","Wilson","emily.wilson@example.com"
8,"Frank","Anderson","frank.anderson@example.com"
9,"Grace","Thomas","grace.thomas@example.com"
10,"Henry","Lee","henry.lee@example.com"
11,"Ivy","Harris","ivy.harris@example.com"
12,"Jack","Clark","jack.clark@example.com"
13,"Karen","Lewis","karen.lewis@example.com"
14,"Liam","Walker","liam.walker@example.com"
15,"Mia","Young","mia.young@example.com"
16,"Noah","Hall","noah.hall@example.com"
17,"Olivia","Allen","olivia.allen@example.com"
18,"Paul","Wright","paul.wright@example.com"
19,"Quinn","King","quinn.king@example.com"
20,"Rachel","Scott","rachel.scott@example.com"
